Date,Open,High,Low,Close,Adj Close,Volume
2018-02-13,1.000000,1.010000,0.950000,0.970000,0.970000,475400
2018-02-14,0.960000,1.000000,0.960000,1.000000,1.000000,240700
2018-02-15,0.980000,0.980000,0.930000,0.950000,0.950000,270500
2018-02-16,0.970000,0.970000,0.910000,0.940000,0.940000,148800
2018-02-20,0.940000,0.940000,0.880000,0.880000,0.880000,366100
2018-02-21,0.890000,0.890000,0.830000,0.840000,0.840000,191600
2018-02-22,0.850000,0.900000,0.730000,0.800000,0.800000,1109700
2018-02-23,0.810000,0.850000,0.810000,0.850000,0.850000,667500
2018-02-26,0.850000,0.900000,0.840000,0.890000,0.890000,528800
2018-02-27,0.910000,0.910000,0.850000,0.870000,0.870000,159800
2018-02-28,0.900000,0.910000,0.880000,0.900000,0.900000,198400
2018-03-01,0.910000,0.920000,0.870000,0.920000,0.920000,213700
2018-03-02,0.910000,0.930000,0.880000,0.920000,0.920000,67800
2018-03-05,0.940000,0.950000,0.920000,0.950000,0.950000,177300
2018-03-06,0.950000,0.950000,0.930000,0.950000,0.950000,138700
2018-03-07,0.980000,0.980000,0.920000,0.920000,0.920000,174500
2018-03-08,0.940000,0.940000,0.890000,0.920000,0.920000,94400
2018-03-09,0.900000,0.940000,0.890000,0.900000,0.900000,254000
2018-03-12,0.920000,1.040000,0.900000,0.970000,0.970000,517100
2018-03-13,1.000000,1.010000,0.970000,0.990000,0.990000,576500
2018-03-14,0.980000,0.980000,0.930000,0.940000,0.940000,313600
2018-03-15,0.930000,0.990000,0.910000,0.910000,0.910000,442600
2018-03-16,0.920000,0.940000,0.910000,0.930000,0.930000,77700
2018-03-19,0.970000,1.020000,0.970000,0.990000,0.990000,545600
2018-03-20,0.990000,1.000000,0.970000,0.990000,0.990000,177400
2018-03-21,0.990000,1.000000,0.970000,0.990000,0.990000,45000
2018-03-22,0.990000,1.010000,0.990000,1.000000,1.000000,307300
2018-03-23,0.990000,1.000000,0.970000,1.000000,1.000000,323900
2018-03-26,1.000000,1.010000,0.970000,0.990000,0.990000,375300
2018-03-27,0.970000,0.990000,0.950000,0.960000,0.960000,194900
2018-03-28,0.960000,0.960000,0.930000,0.930000,0.930000,123900
2018-03-29,0.920000,0.950000,0.920000,0.950000,0.950000,96500
2018-04-02,0.940000,0.960000,0.920000,0.940000,0.940000,96400
2018-04-03,0.950000,0.990000,0.930000,0.930000,0.930000,201000
2018-04-04,0.930000,0.980000,0.930000,0.950000,0.950000,210700
2018-04-05,0.960000,0.970000,0.940000,0.970000,0.970000,110400
2018-04-06,0.970000,0.970000,0.940000,0.960000,0.960000,80700
2018-04-09,0.970000,0.970000,0.940000,0.940000,0.940000,72800
2018-04-10,0.950000,0.970000,0.940000,0.960000,0.960000,54400
2018-04-11,0.970000,0.970000,0.960000,0.960000,0.960000,150100
2018-04-12,0.940000,0.950000,0.930000,0.940000,0.940000,95200
2018-04-13,0.950000,0.990000,0.950000,0.990000,0.990000,326800
2018-04-16,1.000000,1.040000,0.990000,1.030000,1.030000,704700
2018-04-17,1.030000,1.040000,0.990000,1.010000,1.010000,290000
2018-04-18,1.010000,1.020000,0.980000,1.020000,1.020000,253600
2018-04-19,1.020000,1.030000,1.010000,1.030000,1.030000,237600
2018-04-20,1.030000,1.030000,1.010000,1.030000,1.030000,54700
2018-04-23,1.040000,1.070000,1.030000,1.040000,1.040000,451900
2018-04-24,1.050000,1.060000,0.990000,1.000000,1.000000,317800
2018-04-25,1.000000,1.010000,0.950000,0.950000,0.950000,197000
2018-04-26,0.980000,0.980000,0.940000,0.940000,0.940000,114200
2018-04-27,0.940000,0.960000,0.910000,0.910000,0.910000,145400
2018-04-30,0.910000,0.930000,0.870000,0.890000,0.890000,197600
2018-05-01,0.870000,0.880000,0.840000,0.850000,0.850000,170900
2018-05-02,0.880000,1.050000,0.860000,1.000000,1.000000,397400
2018-05-03,1.020000,1.020000,0.960000,0.990000,0.990000,66600
2018-05-04,0.990000,0.990000,0.920000,0.950000,0.950000,91000
2018-05-07,0.950000,0.970000,0.930000,0.960000,0.960000,97100
2018-05-08,0.950000,0.980000,0.950000,0.970000,0.970000,112700
2018-05-09,1.060000,1.160000,1.040000,1.110000,1.110000,1299800
2018-05-10,1.150000,1.190000,1.140000,1.190000,1.190000,1438800
2018-05-11,1.190000,1.200000,1.070000,1.160000,1.160000,799700
2018-05-14,1.200000,1.210000,1.120000,1.150000,1.150000,573000
2018-05-15,1.150000,1.180000,1.090000,1.130000,1.130000,418200
2018-05-16,1.150000,1.160000,1.140000,1.160000,1.160000,243900
2018-05-17,1.140000,1.160000,1.140000,1.160000,1.160000,205600
2018-05-18,1.130000,1.160000,1.130000,1.150000,1.150000,245000
2018-05-22,1.150000,1.150000,1.120000,1.130000,1.130000,227400
2018-05-23,1.130000,1.130000,1.090000,1.090000,1.090000,97400
2018-05-24,1.110000,1.140000,1.090000,1.090000,1.090000,202400
2018-05-25,1.090000,1.130000,1.060000,1.070000,1.070000,105900
2018-05-28,1.080000,1.080000,1.000000,1.020000,1.020000,105600
2018-05-29,1.040000,1.110000,1.040000,1.100000,1.100000,266300
2018-05-30,1.110000,1.110000,1.080000,1.100000,1.100000,133800
2018-05-31,1.110000,1.120000,1.090000,1.110000,1.110000,186900
2018-06-01,1.100000,1.100000,1.070000,1.090000,1.090000,52000
2018-06-04,1.070000,1.100000,1.070000,1.080000,1.080000,85600
2018-06-05,1.090000,1.100000,1.080000,1.090000,1.090000,113000
2018-06-06,1.100000,1.100000,1.050000,1.050000,1.050000,249100
2018-06-07,1.090000,1.090000,1.070000,1.080000,1.080000,126700
2018-06-08,1.070000,1.090000,1.060000,1.070000,1.070000,115000
2018-06-11,1.090000,1.110000,1.090000,1.090000,1.090000,96800
2018-06-12,1.070000,1.090000,1.050000,1.070000,1.070000,1141200
2018-06-13,1.060000,1.100000,1.050000,1.100000,1.100000,732700
2018-06-14,1.070000,1.100000,1.070000,1.090000,1.090000,297600
2018-06-15,1.080000,1.090000,1.070000,1.070000,1.070000,294900
2018-06-18,1.070000,1.110000,1.070000,1.070000,1.070000,327100
2018-06-19,1.080000,1.090000,1.070000,1.070000,1.070000,260900
2018-06-20,1.090000,1.100000,1.060000,1.080000,1.080000,169800
2018-06-21,1.070000,1.080000,1.050000,1.070000,1.070000,204500
2018-06-22,1.060000,1.070000,1.050000,1.050000,1.050000,92300
2018-06-25,1.050000,1.060000,1.000000,1.030000,1.030000,125900
2018-06-26,1.010000,1.030000,0.990000,0.990000,0.990000,101900
2018-06-27,1.000000,1.010000,0.990000,0.990000,0.990000,140600
2018-06-28,1.010000,1.020000,0.970000,0.970000,0.970000,93000
2018-06-29,1.000000,1.000000,0.920000,0.980000,0.980000,198300
2018-07-03,0.980000,1.000000,0.980000,0.990000,0.990000,81400
2018-07-04,0.980000,1.000000,0.980000,0.980000,0.980000,44900
2018-07-05,0.980000,1.000000,0.970000,1.000000,1.000000,110600
2018-07-06,0.990000,1.000000,0.970000,0.990000,0.990000,86100
2018-07-09,0.990000,1.000000,0.960000,0.960000,0.960000,33200
2018-07-10,0.960000,0.970000,0.950000,0.950000,0.950000,46100
2018-07-11,0.950000,0.960000,0.930000,0.940000,0.940000,92600
2018-07-12,0.930000,0.950000,0.920000,0.920000,0.920000,62700
2018-07-13,0.920000,0.950000,0.920000,0.920000,0.920000,81600
2018-07-16,0.920000,0.980000,0.890000,0.890000,0.890000,185300
2018-07-17,0.920000,0.940000,0.890000,0.930000,0.930000,79600
2018-07-18,0.920000,0.960000,0.920000,0.950000,0.950000,204100
2018-07-19,0.950000,0.960000,0.920000,0.930000,0.930000,69200
2018-07-20,0.940000,0.970000,0.930000,0.950000,0.950000,84400
2018-07-23,0.960000,0.990000,0.940000,0.940000,0.940000,119500
2018-07-24,0.950000,0.990000,0.940000,0.990000,0.990000,94700
2018-07-25,0.960000,0.970000,0.930000,0.930000,0.930000,68000
2018-07-26,0.950000,0.960000,0.920000,0.920000,0.920000,68100
2018-07-27,0.950000,0.950000,0.920000,0.930000,0.930000,56800
2018-07-30,0.930000,0.930000,0.910000,0.910000,0.910000,114100
2018-07-31,0.900000,0.910000,0.890000,0.890000,0.890000,181400
2018-08-01,0.880000,0.900000,0.870000,0.870000,0.870000,135300
2018-08-02,0.880000,0.890000,0.850000,0.850000,0.850000,151400
2018-08-03,0.880000,0.900000,0.870000,0.900000,0.900000,62000
2018-08-07,0.900000,0.920000,0.890000,0.890000,0.890000,81900
2018-08-08,0.930000,0.930000,0.900000,0.910000,0.910000,45400
2018-08-09,0.900000,0.900000,0.870000,0.880000,0.880000,92200
2018-08-10,0.880000,0.920000,0.880000,0.910000,0.910000,444900
2018-08-13,0.910000,0.910000,0.860000,0.870000,0.870000,72300
2018-08-14,0.870000,0.900000,0.860000,0.890000,0.890000,156800
2018-08-15,0.890000,0.900000,0.850000,0.850000,0.850000,493500
2018-08-16,0.870000,0.880000,0.820000,0.880000,0.880000,216100
2018-08-17,0.860000,0.890000,0.850000,0.870000,0.870000,116200
2018-08-20,0.890000,0.890000,0.870000,0.890000,0.890000,258500
2018-08-21,0.880000,0.910000,0.880000,0.900000,0.900000,181900
2018-08-22,0.890000,0.910000,0.890000,0.900000,0.900000,295000
2018-08-23,0.900000,0.980000,0.890000,0.950000,0.950000,189900
2018-08-24,0.950000,0.960000,0.910000,0.920000,0.920000,160300
2018-08-27,0.920000,0.920000,0.890000,0.890000,0.890000,110100
2018-08-28,0.900000,0.950000,0.890000,0.920000,0.920000,208300
2018-08-29,0.920000,0.920000,0.900000,0.900000,0.900000,39800
2018-08-30,0.920000,0.920000,0.890000,0.890000,0.890000,82700
2018-08-31,0.910000,0.910000,0.890000,0.900000,0.900000,60300
2018-09-04,0.900000,0.920000,0.850000,0.860000,0.860000,140600
2018-09-05,0.850000,0.880000,0.820000,0.820000,0.820000,77900
2018-09-06,0.840000,0.840000,0.830000,0.830000,0.830000,71300
2018-09-07,0.830000,0.850000,0.800000,0.810000,0.810000,181500
2018-09-10,0.830000,0.850000,0.810000,0.820000,0.820000,140700
2018-09-11,0.830000,0.840000,0.820000,0.830000,0.830000,59300
2018-09-12,0.830000,0.830000,0.780000,0.820000,0.820000,87300
2018-09-13,0.810000,0.820000,0.790000,0.790000,0.790000,67200
2018-09-14,0.780000,0.790000,0.770000,0.780000,0.780000,76400
2018-09-17,0.780000,0.860000,0.750000,0.780000,0.780000,369200
2018-09-18,0.800000,0.820000,0.790000,0.820000,0.820000,77700
2018-09-19,0.830000,0.860000,0.820000,0.850000,0.850000,281800
2018-09-20,0.850000,0.860000,0.830000,0.860000,0.860000,197500
2018-09-21,0.860000,0.860000,0.820000,0.840000,0.840000,205700
2018-09-24,0.850000,0.850000,0.830000,0.850000,0.850000,162400
2018-09-25,0.830000,0.850000,0.820000,0.840000,0.840000,181500
2018-09-26,0.820000,0.820000,0.790000,0.820000,0.820000,286400
2018-09-27,0.830000,0.840000,0.820000,0.840000,0.840000,75100
2018-09-28,0.840000,0.920000,0.830000,0.910000,0.910000,256900
2018-10-01,0.940000,0.940000,0.880000,0.900000,0.900000,91400
2018-10-02,0.880000,0.890000,0.840000,0.860000,0.860000,105300
2018-10-03,0.860000,0.860000,0.830000,0.840000,0.840000,51100
2018-10-04,0.840000,0.860000,0.830000,0.860000,0.860000,48000
2018-10-05,0.880000,0.880000,0.870000,0.870000,0.870000,35300
2018-10-09,0.870000,0.870000,0.800000,0.800000,0.800000,97500
2018-10-10,0.820000,0.820000,0.780000,0.790000,0.790000,91000
2018-10-11,0.800000,0.800000,0.710000,0.760000,0.760000,658200
2018-10-12,0.740000,0.760000,0.740000,0.750000,0.750000,528200
